id,summary,description,status,resolution
3001,"Application rejected due to missing mandatory documents","The visa application was rejected because the applicant did not upload all the required supporting documents, such as passport copy, photographs, or proof of accommodation. Missing documents prevent the authorities from verifying the application and proceeding with processing.","Open","Please upload all the missing required documents and resubmit your visa application to proceed with the processing."
3002,"Visa fee payment failed due to gateway or network error","The applicant attempted to pay the visa processing fee but the transaction did not complete successfully. The system reported a gateway error, which typically happens due to network interruptions, incorrect routing, or downtime of the payment gateway.","Open","Please try making the payment again after some time. If the issue persists, contact support for assistance."
3003,"Incorrect visa validity dates issued","The visa was approved but issued with incorrect start or end dates. This mismatch between intended travel dates and actual validity makes the visa unusable for the applicant’s planned journey.","Open","Contact customer support to request re-issuance of the visa with the correct validity dates."
3004,"Uploaded applicant photo rejected","The applicant uploaded a photo that did not meet visa photo standards. Issues could include incorrect size, blurry image, poor background, or low clarity.","Open","Please upload a new photo that complies with the specified visa photo requirements and submit again."
3005,"Duplicate visa application detected","The system detected multiple visa applications for the same applicant. Duplicate submissions can cause delays or confusion in processing.","Open","Please check your existing visa applications in the portal before submitting a new application to avoid duplicates."
3006,"Biometric enrollment failed during application","During the application process, biometric data (fingerprints or facial scan) could not be collected successfully. This failure may occur due to hardware malfunction at the enrollment center, applicant error, or system downtime.","Open","Please schedule a new biometric enrollment appointment at your earliest convenience to complete the process."
3007,"Refund not automatically processed after cancellation","After the applicant cancelled the visa application, the refund process was not triggered as expected by the system.","Open","Refunds are processed automatically within 3-5 business days. Please wait for this period before contacting support."
3008,"Visa status not updating in online portal","The application status on the online portal remains ‘Processing’ beyond the expected timeframe. This could be due to system delays or synchronization issues.","Open","Please refresh the portal or check back later for status updates. Contact support if the delay continues."
3009,"Application submitted with expired passport","The applicant submitted a visa application using an expired or invalid passport. This prevents the system from verifying identity and processing the application.","Open","Please upload a copy of a valid and unexpired passport to continue processing your visa application."
3010,"Application data not syncing with backend system","The system failed to synchronize the applicant’s data with the central backend database, creating inconsistencies and blocking progress.","Open","Please try submitting your application again. If the issue persists, contact technical support."
3011,"Visa printing service error","An error occurred while generating or downloading the printable visa document for the applicant. This may be caused by technical issues in the printing service.","Open","Please try to download your visa document again after some time. Contact support if the problem continues."
3012,"Incorrect visa type assigned after approval","The applicant was mistakenly assigned the wrong visa type that does not match the requested or approved category.","Open","Please contact customer support to correct the visa type assigned to your application."
3013,"Applicant contact details not updated in system","The applicant attempted to update phone number or email address, but the system did not save the changes correctly. This prevents proper communication regarding the application.","Open","Please update your contact details again and ensure that the changes are saved before exiting the portal."
3014,"Payment confirmation email not received","After completing the payment successfully, the applicant did not receive a payment confirmation email. This could be due to email delivery failure, spam filtering, or technical issues.","Open","Please check your email spam or junk folder. If not found, request a resend of the payment confirmation email from support."
3015,"Application stuck in 'In Process' status","The visa application review stage is not progressing as expected. It remains stuck in the ‘In Process’ state beyond the normal review timeline.","Open","Applications are reviewed within the standard timelines. Please check back later or contact support if the delay is excessive."
3016,"Delay in verifying supporting documents","The verification of documents submitted with the visa application is taking longer than usual. This may be due to backlog or manual review requirements.","Open","Verification of supporting documents may take additional time. Please monitor your application status for updates."
3017,"Visa renewal submitted after expiry","The applicant attempted to renew a visa after the original visa had already expired, which is not permitted.","Open","Please apply for a new visa, as renewals cannot be processed after the visa expiry date."
3018,"Application portal timeout during submission","While submitting the visa application online, the portal session expired or disconnected. This may be caused by inactivity, network issues, or server errors.","Open","Save your progress frequently during submission and avoid inactivity. Try again, and contact support if the issue persists."
3019,"Incorrect fee charged for selected visa type","The system charged the applicant an incorrect fee that does not correspond to the selected visa type.","Open","Please review your payment details carefully. Contact support if you believe an incorrect fee was charged."
3020,"Failure in police clearance integration","The system could not receive or verify police clearance information from the external authority, blocking the visa process.","Open","Please check your police clearance status directly with the police authority and upload the latest clearance document to your application."
3021,"Application withdrawal not reflected in portal","The applicant cancelled the visa application, but the status in the system did not update to show the withdrawal.","Open","Please refresh your application status page or contact support if the cancellation is not shown."
3022,"Request to print expired visa","The applicant attempted to generate or print visa documents after the visa had already expired, which is not allowed.","Open","Visa documents cannot be printed after the expiry date. Please apply for a new visa."
3023,"Delayed SMS notification on visa approval","The applicant did not receive timely SMS notifications about visa approval. This could be due to incorrect mobile details or delays in SMS gateway delivery.","Open","Please verify your registered mobile phone number and check the notification section in your portal account."
3024,"User locked out after multiple login attempts","The applicant’s account was locked due to several unsuccessful login attempts. The system automatically blocks access for security reasons.","Open","Use the password reset or account recovery options provided on the login page to regain access."
3025,"Payment linked to wrong application ID","A payment made by the applicant was mistakenly recorded against the wrong application ID, causing mismatch in payment records.","Open","Please verify your application ID and payment details carefully. Contact support to correct the payment linkage."
3026,"Invalid OTP error during refund","During the refund process, the applicant encountered an invalid OTP error. The system either failed to send the OTP or did not validate it correctly.","Open","Please update your correct contact mobile information on the GDRFA portal, then proceed with the refund again."
